sysid;customerId;addressType;street1;street2;city;zip;zipExtension;state;country;email;phone
1141;141;Personnal;Jean de la Fontaine;;Little Rock;;;AZ;US;Thomas.Washington@gmail.com;234-555-1212
1142;142;Business;East Main Street;;Baton Rouge;;;NV;US;Benjamin.Hoover@gmail.com;234-555-1212
1143;143;Business;Pacific Hwy S;;Montgomery;;;NJ;US;Grover.Van Buren@gmail.com;234-555-1212
1144;144;Business;Santa Rosa South;;Oklahoma City;;;NE;US;Warren.Grant@gmail.com;234-555-1212
1145;145;Business;East Calle Primera;;Nashville;;;OK;US;Herbert.Adams@gmail.com;234-555-1212
1146;146;Business;East Fry Blvd.;;Frankfort;;;HI;US;Calvin.Madison@gmail.com;234-555-1212
1147;147;Business;Richmond Hill;;Sacramento;;;OR;US;Bill.Washington@gmail.com;234-555-1212
1148;148;Personnal;Hutchinson Rd;;Columbia;;;PA;US;Benjamin.Harding@gmail.com;234-555-1212
1149;149;Business;Monroe Street;;Concord;;;SC;US;Benjamin.Tyler@gmail.com;234-555-1212
1150;150;Personnal;Grandview Drive;;Phoenix;;;AR;US;Benjamin.Eisenhower@gmail.com;234-555-1212
1151;151;Business;Burnett Road;;Bismarck;;;DE;US;Ronald.Eisenhower@gmail.com;234-555-1212
1152;152;Personnal;East Calle Primera;;Little Rock;;;IN;US;Richard.Washington@gmail.com;234-555-1212
1153;153;Personnal;S Rustle St;;Carson City;;;SD;US;Jimmy.Hayes@gmail.com;234-555-1212
1154;154;Business;E Fowler Avenue;;Juneau;;;FL;US;George.Grant@gmail.com;234-555-1212
1155;155;Business;Burnett Road;;Phoenix;;;HI;US;Herbert.Pierce@gmail.com;234-555-1212
1156;156;Personnal;Harbor Dr;;Augusta;;;PA;US;Harry.Adams@gmail.com;234-555-1212
1157;157;Business;N Harrison St;;Atlanta;;;SC;US;James.Polk@gmail.com;234-555-1212
1158;158;Business;Steele Lane;;Tallahassee;;;DE;US;Grover.Van Buren@gmail.com;234-555-1212
1159;159;Business;Via Real;;Honolulu;;;OR;US;Chester.Harding@gmail.com;234-555-1212
1160;160;Personnal;Katella Avenue;;Raleigh;;;NJ;US;Theodore.Arthur@gmail.com;234-555-1212
1161;161;Business;Harbor Dr;;Denver;;;VA;US;George.Madison@gmail.com;234-555-1212
1162;162;Personnal;Katella Avenue;;Nashville;;;OR;US;Andrew.Roosevelt@gmail.com;234-555-1212
1163;163;Personnal;Harbor Dr;;Bismarck;;;MN;US;Jimmy.Madison@gmail.com;234-555-1212
1164;164;Personnal;N Kentwood;;Raleigh;;;CT;US;John.Johnson@gmail.com;234-555-1212
1165;165;Business;Lake Tahoe Blvd.;;Columbus;;;CO;US;Thomas.Coolidge@gmail.com;234-555-1212
1166;166;Business;El Camino Real;;Richmond;;;WI;US;James.Truman@gmail.com;234-555-1212
1167;167;Personnal;Tully Road East;;Raleigh;;;UT;US;Andrew.Grant@gmail.com;234-555-1212
1168;168;Business;E Fowler Avenue;;Springfield;;;MA;US;Calvin.Arthur@gmail.com;234-555-1212
1169;169;Personnal;North Broadway Street;;Sacramento;;;OK;US;George.Roosevelt@gmail.com;234-555-1212
1170;170;Business;Burnett Road;;Dover;;;KY;US;Grover.Monroe@gmail.com;234-555-1212
1171;171;Business;East Fry Blvd.;;Albany;;;MT;US;Richard.Hayes@gmail.com;234-555-1212
1172;172;Business;Katella Avenue;;Salem;;;PA;US;Bill.Quincy@gmail.com;234-555-1212
1173;173;Personnal;Lawrenceville Suwanee;;Columbia;;;IN;US;Ronald.Garfield@gmail.com;234-555-1212
1174;174;Business;Fontaine Road;;Denver;;;OK;US;Dwight.Nixon@gmail.com;234-555-1212
1175;175;Business;Newbury Road;;Boston;;;NC;US;Abraham.Roosevelt@gmail.com;234-555-1212
1176;176;Business;Carpinteria North;;Charleston;;;MS;US;Ronald.Taft@gmail.com;234-555-1212
1177;177;Business;San Ysidro Blvd;;Providence;;;WY;US;Martin.Grant@gmail.com;234-555-1212
1178;178;Business;Moreno Drive;;Topeka;;;NJ;US;Warren.Quincy@gmail.com;234-555-1212
1179;179;Business;W. Russell St.;;Juneau;;;SD;US;Calvin.Ford@gmail.com;234-555-1212
1180;180;Business;Greenwood Road;;Carson City;;;MA;US;Benjamin.Grant@gmail.com;234-555-1212
1181;181;Personnal;French Camp Turnpike Road;;Augusta;;;WV;US;Millard.Reagan@gmail.com;234-555-1212
1182;182;Business;Newbury Road;;Lincoln;;;TX;US;Calvin.Clinton@gmail.com;234-555-1212
1183;183;Business;Corona Del Mar;;Atlanta;;;DE;US;Calvin.Monroe@gmail.com;234-555-1212
1184;184;Personnal;Carpinteria North;;Boston;;;KY;US;Franklin.Harding@gmail.com;234-555-1212
1185;185;Personnal;Jean de la Fontaine;;Helena;;;MO;US;George.Polk@gmail.com;234-555-1212
1186;186;Business;Via Real;;Jefferson City;;;HI;US;Harry.Eisenhower@gmail.com;234-555-1212
1187;187;Business;East 1st Street;;Baton Rouge;;;ND;US;Richard.Cleveland@gmail.com;234-555-1212
1188;188;Personnal;W. Russell St.;;Montpelier;;;ME;US;Warren.Van Buren@gmail.com;234-555-1212
1189;189;Business;Greenwood Road;;Jackson;;;NC;US;John.Roosevelt@gmail.com;234-555-1212
1190;190;Personnal;Cabrillo Highway;;Madison;;;AZ;US;Andrew.Harrison@gmail.com;234-555-1212
1191;191;Personnal;East Main Street;;Saint Paul;;;DE;US;Rutherford.Fillmore@gmail.com;234-555-1212
1192;192;Business;Bayshore Freeway;;Honolulu;;;UT;US;Ronald.Carter@gmail.com;234-555-1212
1193;193;Business;San Luis Obispo North;;Carson City;;;FL;US;Andrew.Taft@gmail.com;234-555-1212
1194;194;Business;North Broadway Street;;Denver;;;FL;US;Martin.Lincoln@gmail.com;234-555-1212
1195;195;Business;East Calle Primera;;Indianapolis;;;UT;US;Herbert.Washington@gmail.com;234-555-1212
1196;196;Business;French Camp Turnpike Road;;Trenton;;;OH;US;William.Quincy@gmail.com;234-555-1212
1197;197;Business;Cabrillo Highway;;Dover;;;OH;US;Bill.Harrison@gmail.com;234-555-1212
1198;198;Business;Timberlane Drive;;Columbia;;;CA;US;Martin.Fillmore@gmail.com;234-555-1212
1199;199;Personnal;San Diego Freeway;;Austin;;;WV;US;Calvin.Quincy@gmail.com;234-555-1212
